matchID,teamID,Goal,X,Y,C,Angle,Distance
348.0,Brighton,0,23.299999999999997,44.8,5.200000000000003,0.2916325506325418,24.69738093401808
348.0,Brighton,0,13.299999999999997,53.1,3.1000000000000014,0.5032424623770557,14.1096226030323
348.0,Manchester City,0,12.799999999999997,65.3,15.299999999999997,0.35407788082435127,16.71934882105161
348.0,Manchester City,0,9.5,35.8,14.200000000000003,0.4029351541076284,13.590199593824957
349.0,Newcastle United,0,19.400000000000006,48.2,1.7999999999999972,0.35444895941920557,20.403573216473635
349.0,Newcastle United,0,8.400000000000006,69.4,19.400000000000006,0.28132329952783297,15.388453463555075
349.0,Newcastle United,0,13.099999999999994,47.5,2.5,0.5137135096620115,13.8506552191584
349.0,Newcastle United,0,21.200000000000003,30.1,19.9,0.24582867165741726,25.74532627487949
349.0,West Ham United,0,11.099999999999994,59.8,9.799999999999997,0.4821425896905003,13.282165674316813
349.0,Newcastle United,0,28.599999999999994,29.3,20.7,0.20272252736488025,32.90650277680689
349.0,Newcastle United,0,22.299999999999997,46.1,3.8999999999999986,0.3066568380258805,23.55182477006824
349.0,Newcastle United,0,17.799999999999997,48.7,1.2999999999999972,0.3860178614877399,18.709092041037156
349.0,West Ham United,0,19.400000000000006,49.9,0.10000000000000142,0.3555547322114563,20.370103706167043
349.0,West Ham United,0,20.700000000000003,36.7,13.299999999999997,0.28969406371011464,23.39115751731838
349.0,West Ham United,0,14.099999999999994,42.8,7.200000000000003,0.4442276345908487,15.527086816270456
349.0,Newcastle United,0,10.099999999999994,44.1,5.899999999999999,0.5987363953512169,11.277111775627652
349.0,Newcastle United,0,22.900000000000006,33.2,16.799999999999997,0.25185505116956375,26.40849153208112
349.0,Newcastle United,1,1.4000000000000057,51.3,1.2999999999999972,2.3449302631304922,1.6955603793436596
349.0,Newcastle United,0,5.700000000000003,31.4,18.6,0.2542352212865257,13.490304852003902
349.0,Newcastle United,0,30.200000000000003,56.7,6.700000000000003,0.22566016978284076,32.00765728696807
349.0,West Ham United,0,10.900000000000006,31.9,18.1,0.31626170592790737,16.41350815639363
349.0,West Ham United,0,21.400000000000006,68.4,18.400000000000006,0.2536271975417951,25.454714690995857
349.0,Newcastle United,0,20.0,70.9,20.900000000000006,0.2460251701949303,25.011042061457577
349.0,West Ham United,0,4.599999999999994,37.7,12.299999999999997,0.446485050985285,9.340713302526735
349.0,West Ham United,0,20.200000000000003,75.6,25.599999999999994,0.2143007449347523,26.95836975783217
349.0,West Ham United,0,4.700000000000003,44.9,5.100000000000001,1.0248318668399772,5.945035744215508
349.0,West Ham United,0,23.5,71.1,21.099999999999994,0.22655549317001217,28.23042419093273
349.0,West Ham United,0,24.900000000000006,65.2,15.200000000000003,0.24428771319349896,27.949515648754993
349.0,West Ham United,0,4.5,41.5,8.5,0.7197380158424109,7.26988651905929
349.0,West Ham United,0,25.200000000000003,47.4,2.6000000000000014,0.27381724307969046,26.51391521446805
349.0,West Ham United,1,10.200000000000003,51.8,1.7999999999999972,0.6521037602918845,10.773718021184704
349.0,West Ham United,1,11.5,50.0,0.0,0.5886070374795265,12.075
349.0,Newcastle United,0,10.799999999999997,41.6,8.399999999999999,0.5198997238141991,12.585992213568224
349.0,Newcastle United,1,8.0,46.1,3.8999999999999986,0.7685893203756506,8.774179448814573
349.0,West Ham United,0,20.200000000000003,56.3,6.299999999999997,0.33002384752147285,21.601692642013038
349.0,Newcastle United,0,18.400000000000006,51.5,1.5,0.3735475417999208,19.344586452028388
